,tweet_id,user_id,screen_name,text,time,topic
40,9.69274E+17,8.26524E+17,DeepEddy23,Clearing this up:,3/1/2018 18:10,cnn
41,9.68904E+17,943181,redbeard36,You do love your fake news,2/28/2018 17:40,cnn
42,9.68901E+17,544735156,AnnaMariaMari10,Well this tweet didn't age well.. ,2/28/2018 17:27,cnn
43,9.68807E+17,30479589,MyKidsHavePaws,"Imagine that? You promoted LIARS AGAIN!!! Anyone who believes ANYTHING you say is NUTS! I guess some people are ok with liars! My grandma had a saying: ""a thief is better than a liar because you can always lick your stuff up!"" She was right!
#Resistance",2/28/2018 11:15,cnn
44,9.68685E+17,201539771,wasteurtimetwit,He’s a liar,2/28/2018 3:12,cnn
45,9.68664E+17,548217084,AdamMuller7,Oops... except his own father admits to altering those emails.  So CNN wasn’t the one censoring!!  Keep up buddy!,2/28/2018 1:47,cnn
46,9.68638E+17,9.17153E+17,DefaultNu,"Nothing screams patriot then letting his dad write him a speech, then getting mad his son couldn't read it at the event because they wanted student questions, not one kid hogging up the screen for half an hour reading dad's speech.",2/28/2018 0:05,cnn
47,9.67993E+17,604460550,Psyberus,Busted lying and doctoring emails.,2/26/2018 5:22,cnn
48,9.67887E+17,3725831532,1206geauxtigers,Those pesky facts. They always seem to make you fall on your face don’t they mike? LMAO ,2/25/2018 22:19,cnn
49,9.67503E+17,201539771,wasteurtimetwit,He’s a liar.,2/24/2018 20:53,cnn
50,9.67499E+17,2231259930,mnsports3,Does it ever get exhausting being so wrong so often? While in the next breath accusing the left of being biased and fake. How do u gain the strength to be this hypocritical an fake?,2/24/2018 20:39,cnn
51,9.6749E+17,2393525323,SarcasticNiffer,And this is why. He wouldn't follow the script.,2/24/2018 20:01,cnn
52,9.67409E+17,9.36824E+17,KABennett4,"Glenn , Colton HAAB and you are right wing nuts. Liars.",2/24/2018 14:39,cnn
53,9.67408E+17,9.36824E+17,KABennett4,,2/24/2018 14:37,cnn
54,9.67403E+17,343805647,Dunn_Mark,Debunked,2/24/2018 14:18,cnn
55,9.67348E+17,8.98236E+17,JreChz,,2/24/2018 10:36,cnn
56,9.67315E+17,200983203,FBEsposito,"As usual, wrong again.",2/24/2018 8:26,cnn
57,9.67192E+17,232025596,coop1056,CNN sucks so badly!,2/24/2018 0:20,cnn
58,9.6716E+17,391296279,Bernd_Heuser,"That never happened. The students he supposedly saved don't even exist. They're fake characters. Invented to distract. And Haab doesn't go to that school, he's a professional crisis actor for the NRA. How about that?",2/23/2018 22:13,cnn
59,9.67068E+17,175111392,DallasDrilling,Interesting that he's the only one who says he was forced to do this. When you get 6 more kids saying the same thing....call me.,2/23/2018 16:04,cnn
60,9.67045E+17,1423485654,kurt_kren,Yeah and Fox didnt even let him state his question @TuckerCarlson,2/23/2018 14:34,cnn
61,9.67038E+17,993116078,slpgn97,NAH!,2/23/2018 14:06,cnn
62,9.67002E+17,233218537,kaleidoskeith,Typical CNN playing only the news they want to let on. Manipulators!,2/23/2018 11:45,cnn
63,9.66996E+17,1183314973,WendyPeterPan4u,"EVERYONE KNOW THE GUY SPREADING THIS BALONEY .... CAME UP WITH PIZZAGATE 

CONSERVATIVES HAVE SADLY BECOME BRAINWASHED TOOLS OF THE RUSSIANS

#RESIST THEIR LIES #FBR",2/23/2018 11:18,cnn
64,9.66958E+17,1608647108,chaserblue01,"Bullshit. I see you're pulling more nuggets out of your @$$. Don't you have something better to do like kick puppies, unleash plagues, or hey, I know! Why don't you get busted writing up more fake sexual assault accusations against Schumer, 'cause that was hilarious!! ",2/23/2018 8:50,cnn
65,9.66956E+17,873120733,CreoleCoudrain,The real crisis actor is colton haab?,2/23/2018 8:39,cnn
66,9.66923E+17,383717752,Ernestodoggie,Jesus. Don’t you have a DC porn ring to investigate or something? You fukin liar,2/23/2018 6:27,cnn
67,9.66917E+17,3064539303,Seeking_Beta_69,Fake News,2/23/2018 6:06,cnn
68,9.66891E+17,2278439246,laddiecomehome,Every voice on school safety needs to be heard !,2/23/2018 4:23,cnn
69,9.66878E+17,3158410088,SpicyMustang,,2/23/2018 3:29,cnn
70,9.66862E+17,2499428497,k0art47,"Does this surprise anyone?
The PLSDs and their media patsies don't want to make schools safe, just take away the 2nd Amendment.
Training and arming school staff is the only way to protect students--just like we did with the pilots.",2/23/2018 2:27,cnn
71,9.66852E+17,8.29841E+17,Rosemarie4311,And????,2/23/2018 1:47,cnn
72,9.66844E+17,52816412,Euro22,"Unlike CNN's town hall, the people invited to the White House on the school shooting issue, everyone was allowed to have their say. Both pro and anti-gun, along with other suggestions.",2/23/2018 1:16,cnn
73,9.66843E+17,715251932,linermindy,Wow!  Why hasn’t this kid been interviewed?  What an amazing student.,2/23/2018 1:13,cnn
74,9.66842E+17,1860158906,Dcdave11,"Its a lie, fake news prove it, have him on your show, he was invited on CNN to discuss it. Sorry you flunked the ratings last night get used to it.",2/23/2018 1:06,cnn
75,9.66799E+17,8.16694E+17,realAndyCarmona,A fake news media outlet wanting a fake narrative?  SHOCKING!  #CNNTownHall #CNNFakeNews,2/22/2018 22:15,cnn
76,9.66781E+17,860620351,walshfam_ire,"Control and strict intolerance, CNN is like the Nazis!",2/22/2018 21:06,cnn
77,9.66778E+17,8.76276E+17,rvincent1776,,2/22/2018 20:54,cnn
78,9.66778E+17,8.98225E+17,Uroncrack,Cnn sks,2/22/2018 20:53,cnn
79,9.66777E+17,8.68988E+17,SpaceGhost_75,But I thought we were supposed to listen to all of the kids ? Like yesterday ?,2/22/2018 20:49,cnn
80,9.66757E+17,7.63877E+17,AndreaTheiss2,Again CNN takes a position with OBama years before and seizes the opportunity to push the agenda again. Keep the politics out. Concentrate on what actually works in a bigger picture.,2/22/2018 19:32,cnn
81,9.66757E+17,8.23733E+17,10th_Mt_Warrior,#CNNFakeNews,2/22/2018 19:30,cnn
