tweet_id,user_id,screen_name,text,time,Fake News
9.78E+17,8.33E+17,KathySmallwoo18,"The youngins saw 300$ and because they are young and stupid, said ‘let’s do this’. Come on Kids Do Not Be Bought  and NOT by Soros!  Parents Wake UP!",3/25/2018 16:35,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,43914018,Rutro19,"Yeah, that's not what's being advertised. Looks like a third party jumping in to make money by selling merchandise to me.",3/25/2018 13:51,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,8.25E+17,AltFireAviation,"oh, you took a break from kissing Trumps ass I see",3/25/2018 0:12,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.79E+17,1250732653,BillWhmiii,"Paid protesters, where do they sign up for 300 a day",3/28/2018 5:04,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,22669086,xrey1,The number one reason they have these marches is to register voters for Democrats.,3/26/2018 12:15,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,26919250,_SLNovak,Lies and the lying liars who tell them.,3/25/2018 14:13,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,8.97E+17,IThinkBasic,"What? They are selling people protest garb, not buying protestors...that's like saying that they paid the hotdog vendors at the baseball games to go to the games to boost the attendance...like, no.",3/26/2018 15:10,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,17138778,rebekahkfreitas,"Anyone can create a Craigslist ad, you buffoon. Did you create this one? I bet you did.",3/25/2018 17:19,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,277219310,kmck085,protesters?..looks like an ad for merchandise sellers..,3/26/2018 13:07,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,2583105734,bking12_bryan,"The gig is up you’ve been caught, just like all of the other protests that Soros funded.",3/25/2018 17:08,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,8.84E+17,ComradCovfefe45,I don’t have to go to Craigslist anymore! I signed up for Soros’ direct payments through PayPal!,3/25/2018 18:08,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,20826129,tasteofaz,do not doubt this for a second,3/25/2018 17:49,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,54357081,Karmac0de,"I'm all for exposing stuff like this if proof is provided, but how is this supposed to be valid? Anyone could have made this.",3/26/2018 9:21,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.79E+17,7.98E+17,jhysko01,Racketeering charges should be forthcoming...,3/27/2018 15:04,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
